id,type,sensorName,time,x,y,z,w
12,runtime,linear_acceleration,1632703282517,-0.004058838,0.22648335,0.050387144,0.0
16,runtime,linear_acceleration,1632703282538,0.027964592,0.1834929,0.091566324,0.0
17,runtime,linear_acceleration,1632703282558,0.018356323,0.15179801,0.070388556,0.0
19,runtime,linear_acceleration,1632703282579,0.024476051,0.07277465,0.13212371,0.0
9,runtime,linear_acceleration,1632703282599,-0.02034092,0.24492693,0.14462698,0.0
34,runtime,linear_acceleration,1632703282619,-0.08721924,0.16354942,0.2579546,0.0
30,runtime,linear_acceleration,1632703282640,-0.047403336,-0.17445254,0.17124367,0.0
39,runtime,linear_acceleration,1632703282660,-0.0151052475,0.11285472,0.16541564,0.0
26,runtime,linear_acceleration,1632703282681,0.019812584,0.12730622,0.12888968,0.0
25,runtime,linear_acceleration,1632703282701,0.048567772,-0.013963938,0.06651187,0.0
29,runtime,linear_acceleration,1632703282722,0.034867287,0.01980257,0.014671564,0.0
38,runtime,linear_acceleration,1632703282743,0.026151657,-0.05704832,-0.053501606,0.0
41,runtime,linear_acceleration,1632703282763,0.058662415,-0.05129528,-0.14107561,0.0
44,runtime,linear_acceleration,1632703282783,0.08953762,-0.0359416,-0.13891125,0.0
49,runtime,linear_acceleration,1632703282804,0.09161854,-0.052291393,-0.22274888,0.0
58,runtime,linear_acceleration,1632703282823,0.0712595,-0.012851477,-0.28194058,0.0
57,runtime,linear_acceleration,1632703282844,0.09843731,-0.06802893,-0.32375693,0.0
64,runtime,linear_acceleration,1632703282864,0.092731476,-0.048146725,-0.3411014,0.0
63,runtime,linear_acceleration,1632703282884,0.1242733,-0.15304494,-0.3569417,0.0
80,runtime,linear_acceleration,1632703282904,0.08989334,-0.063396215,-0.3200841,0.0
79,runtime,linear_acceleration,1632703282924,0.05251503,-0.027652025,-0.31827593,0.0
73,runtime,linear_acceleration,1632703282944,0.067806244,-0.13203764,-0.29472804,0.0
71,runtime,linear_acceleration,1632703282964,0.040769577,-0.101457834,-0.2457732,0.0
89,runtime,linear_acceleration,1632703282985,-0.023213387,-0.09610319,-0.1961236,0.0
87,runtime,linear_acceleration,1632703283004,0.057289124,-0.045461416,-0.18906641,0.0
85,runtime,linear_acceleration,1632703283025,0.0048532486,-0.031200647,-0.144395,0.0
91,runtime,linear_acceleration,1632703283045,-0.008785248,-0.044708014,-0.016531825,0.0
105,runtime,linear_acceleration,1632703283065,-0.0075731277,0.010154963,0.019440174,0.0
102,runtime,linear_acceleration,1632703283085,0.031110764,0.0101258755,-0.007371664,0.0
106,runtime,linear_acceleration,1632703283105,-0.014716148,-0.064920664,0.048530817,0.0
