id,type,sensorName,time,x,y,z,w
55,runtime,"ak0991x Magnetometer Non-wakeup",1632703282846,50.119446,37.860394,-21.030838,0.0
52,runtime,"ak0991x Magnetometer Non-wakeup",1632703282867,50.78186,37.765724,-20.319962,0.0
56,runtime,"ak0991x Magnetometer Non-wakeup",1632703282887,50.87854,37.938896,-21.470917,0.0
60,runtime,"ak0991x Magnetometer Non-wakeup",1632703282906,50.714447,37.02328,-20.714752,0.0
72,runtime,"ak0991x Magnetometer Non-wakeup",1632703282927,50.7222,38.438686,-23.126678,0.0
68,runtime,"ak0991x Magnetometer Non-wakeup",1632703282947,51.32773,37.43096,-22.218063,0.0
75,runtime,"ak0991x Magnetometer Non-wakeup",1632703282966,50.136536,35.4644,-22.88501,0.0
78,runtime,"ak0991x Magnetometer Non-wakeup",1632703282987,49.889984,37.614586,-23.226898,0.0
77,runtime,"ak0991x Magnetometer Non-wakeup",1632703283006,49.550842,37.597446,-21.98819,0.0
86,runtime,"ak0991x Magnetometer Non-wakeup",1632703283027,50.39789,37.315166,-22.820282,0.0
90,runtime,"ak0991x Magnetometer Non-wakeup",1632703283047,50.07129,37.481274,-21.592026,0.0
95,runtime,"ak0991x Magnetometer Non-wakeup",1632703283067,50.76648,38.110104,-21.359528,0.0
99,runtime,"ak0991x Magnetometer Non-wakeup",1632703283086,50.633545,36.97906,-22.752075,0.0
103,runtime,"ak0991x Magnetometer Non-wakeup",1632703283106,49.868744,36.89741,-22.457489,0.0
114,runtime,"ak0991x Magnetometer Non-wakeup",1632703283127,49.40216,37.395855,-22.146927,0.0
104,runtime,"ak0991x Magnetometer Non-wakeup",1632703283147,50.712555,37.72782,-22.066238,0.0
120,runtime,"ak0991x Magnetometer Non-wakeup",1632703283167,51.901215,37.52015,-20.81369,0.0
121,runtime,"ak0991x Magnetometer Non-wakeup",1632703283187,50.919373,37.375927,-22.725616,0.0
123,runtime,"ak0991x Magnetometer Non-wakeup",1632703283207,51.49826,40.170128,-22.811325,0.0
125,runtime,"ak0991x Magnetometer Non-wakeup",1632703283226,51.63861,38.19432,-22.21251,0.0
130,runtime,"ak0991x Magnetometer Non-wakeup",1632703283246,50.579315,37.181866,-21.185425,0.0
135,runtime,"ak0991x Magnetometer Non-wakeup",1632703283266,50.150696,37.644962,-23.179565,0.0
132,runtime,"ak0991x Magnetometer Non-wakeup",1632703283286,51.487976,37.638874,-21.768265,0.0
139,runtime,"ak0991x Magnetometer Non-wakeup",1632703283306,50.87854,37.938896,-21.470917,0.0
154,runtime,"ak0991x Magnetometer Non-wakeup",1632703283326,51.17914,37.22938,-22.3768,0.0
147,runtime,"ak0991x Magnetometer Non-wakeup",1632703283346,50.244415,36.22896,-21.471558,0.0
155,runtime,"ak0991x Magnetometer Non-wakeup",1632703283366,49.9805,38.36967,-22.250015,0.0
150,runtime,"ak0991x Magnetometer Non-wakeup",1632703283386,50.21167,36.563858,-22.947693,0.0
164,runtime,"ak0991x Magnetometer Non-wakeup",1632703283406,50.49164,35.899162,-21.112305,0.0
171,runtime,"ak0991x Magnetometer Non-wakeup",1632703283426,50.96176,37.75189,-22.309937,0.0
163,runtime,"ak0991x Magnetometer Non-wakeup",1632703283446,51.128082,36.319485,-22.033524,0.0
167,runtime,"ak0991x Magnetometer Non-wakeup",1632703283465,50.78415,37.534508,-23.196304,0.0
172,runtime,"ak0991x Magnetometer Non-wakeup",1632703283486,49.399628,36.280003,-23.515808,0.0
181,runtime,"ak0991x Magnetometer Non-wakeup",1632703283506,51.627014,37.12961,-20.549072,0.0
185,runtime,"ak0991x Magnetometer Non-wakeup",1632703283526,50.488434,38.07025,-21.843414,0.0
198,runtime,"ak0991x Magnetometer Non-wakeup",1632703283546,51.229218,37.962353,-22.418594,0.0
193,runtime,"ak0991x Magnetometer Non-wakeup",1632703283565,50.934753,37.031555,-21.68608,0.0
199,runtime,"ak0991x Magnetometer Non-wakeup",1632703283585,52.653503,37.41856,-21.097809,0.0
204,runtime,"ak0991x Magnetometer Non-wakeup",1632703283605,51.034943,38.497498,-21.769638,0.0
205,runtime,"ak0991x Magnetometer Non-wakeup",1632703283625,52.09259,37.51262,-22.512634,0.0
208,runtime,"ak0991x Magnetometer Non-wakeup",1632703283646,51.472595,37.98325,-22.80783,0.0
214,runtime,"ak0991x Magnetometer Non-wakeup",1632703283665,51.36435,37.803764,-21.947906,0.0
209,runtime,"ak0991x Magnetometer Non-wakeup",1632703283686,50.963654,37.047348,-20.958466,0.0
219,runtime,"ak0991x Magnetometer Non-wakeup",1632703283705,52.15036,37.544205,-21.057404,0.0
222,runtime,"ak0991x Magnetometer Non-wakeup",1632703283725,50.733734,38.445004,-22.835632,0.0
229,runtime,"ak0991x Magnetometer Non-wakeup",1632703283746,51.427917,38.896904,-22.301636,0.0
223,runtime,"ak0991x Magnetometer Non-wakeup",1632703283765,51.530365,38.014835,-21.3526,0.0
234,runtime,"ak0991x Magnetometer Non-wakeup",1632703283785,52.24768,39.53777,-22.190964,0.0
240,runtime,"ak0991x Magnetometer Non-wakeup",1632703283805,51.39322,37.819557,-21.220291,0.0
254,runtime,"ak0991x Magnetometer Non-wakeup",1632703283825,50.38022,37.890778,-20.98349,0.0
245,runtime,"ak0991x Magnetometer Non-wakeup",1632703283845,52.076843,38.44207,-21.278824,0.0
255,runtime,"ak0991x Magnetometer Non-wakeup",1632703283865,51.54898,36.557766,-21.536407,0.0
257,runtime,"ak0991x Magnetometer Non-wakeup",1632703283885,52.33786,36.82898,-21.550385,0.0
273,runtime,"ak0991x Magnetometer Non-wakeup",1632703283906,52.499084,37.213818,-21.402084,0.0
